curriculum_order,tier,name,n_tokens,difficulty,combined_research,compression_ratio,lexical_diversity_mtld,flesch_reading_ease,compression_ratio_norm,lexical_diversity_norm,flesch_difficulty_norm,familiarity_norm,complexity_norm,avg_rarity,fragmentation,rare_ratio,struct_avg_sentence_length,struct_clause_density,struct_max_sentence_length,struct_n_sentences,struct_sentence_cv,struct_subordination
96,3,Voltaire - Candide,51118,0.1425,0.4923,4.1395,84.3841,66.6065,0.5811,0.4700,0.3370,0.1544,0.1296,0.0774,1.3770,0.0095,23.4054,0.3733,188,1586,0.8789,0.0467
20,1,Chopin - The Awakening,88875,0.0891,0.4942,4.2554,86.8839,72.8588,0.6276,0.4902,0.2313,0.1242,0.0215,0.0775,1.3293,0.0088,16.2667,0.1954,102,4110,0.6818,0.0735
4,1,Luo Guanzhong - Romance of the Three Kingdoms,363413,0.0653,0.4952,4.3114,93.1853,78.2629,0.6500,0.5409,0.1400,0.0921,0.0059,0.0816,1.2664,0.0096,19.2766,0.0961,133,14887,0.6213,0.0171
154,4,Thomas Hobbes - Leviathan (selections),299346,0.2402,0.4959,4.0965,55.4124,49.9221,0.5639,0.2367,0.6191,0.1847,0.2852,0.0879,1.3877,0.0173,37.9908,1.1122,356,5678,0.8078,0.4826
35,1,Michael Faraday - The Chemical History of a Candle (1861),54446,0.1008,0.4969,4.3784,60.4359,65.4303,0.6768,0.2771,0.3569,0.0477,0.1343,0.0685,1.2323,0.0066,26.3830,0.5153,147,1671,0.7271,0.2855
25,1,Thomas à Kempis - The Imitation of Christ,80220,0.0913,0.5016,4.4301,66.0665,69.4693,0.6976,0.3225,0.2886,0.0610,0.1139,0.0713,1.2443,0.0082,20.1337,0.1883,228,3202,0.8654,0.2411
,,H.G. Wells - The Time Machine,,,0.5017,4.2586,84.5390,70.1164,0.6289,0.4713,0.2777,,,,,,,,,,,
34,1,Leo Tolstoy - War and Peace,748547,0.1002,0.5018,4.3200,77.8681,69.8165,0.6535,0.4175,0.2828,0.1162,0.0811,0.0743,1.3239,0.0092,20.7354,0.1558,307,27266,0.7930,0.1267
27,1,Theodore Parker - Speeches and Sermons Vol. 1,140357,0.0921,0.5032,4.3380,71.3424,67.2290,0.6607,0.3650,0.3265,0.0877,0.0964,0.0743,1.2786,0.0088,21.5439,0.3914,303,5095,0.8082,0.0130
161,4,Alexander von Humboldt - Views of Nature,265511,0.2653,0.5046,4.0257,70.4328,51.6608,0.5356,0.3576,0.5897,0.3073,0.2154,0.1008,1.5552,0.0156,22.4315,0.3802,238,7611,1.0700,0.3696
104,3,Augustine - Confessions,143634,0.1525,0.5053,4.3255,62.0784,61.7251,0.6557,0.2903,0.4195,0.0496,0.2099,0.0618,1.2521,0.0065,31.6264,0.6383,799,3627,0.9051,0.1334
44,1,Ralph Waldo Emerson - Self-Reliance Experience,105530,0.1034,0.5089,4.2942,73.7916,64.9630,0.6431,0.3847,0.3648,0.1254,0.0751,0.0795,1.3245,0.0100,20.5645,0.3529,146,3874,0.7618,0.0217
52,2,Oscar Wilde - De Profundis,25297,0.1074,0.5095,4.4255,64.5982,66.6611,0.6957,0.3106,0.3361,0.0419,0.1460,0.0659,1.2266,0.0085,24.2329,0.1753,218,850,0.9685,0.0447
127,3,Antoine Lavoisier - Elements of Chemistry,154683,0.1809,0.5120,4.2862,49.2428,52.1546,0.6399,0.1870,0.5813,0.1931,0.1679,0.0948,1.3934,0.0110,22.3487,0.2714,199,4967,1.0447,0.0604
64,2,Arthur Waley - The Poet Li Po,11494,0.1172,0.5121,4.3729,82.2712,71.9862,0.6746,0.4530,0.2461,0.1501,0.0703,0.0890,1.3353,0.0133,17.0079,0.1877,102,506,0.8117,0.1344
83,2,John Henry Newman - Apologia Pro Vita Sua,174008,0.1322,0.5159,4.2724,70.2529,60.5990,0.6344,0.3562,0.4386,0.0809,0.1685,0.0653,1.2912,0.0081,27.2985,0.4101,324,4935,0.9202,0.0762
12,1,Margery Williams - The Velveteen Rabbit,8722,0.0827,0.5159,4.5033,64.4239,68.7511,0.7269,0.3092,0.3008,0.0983,0.0634,0.0781,1.2824,0.0114,21.5190,0.0538,102,316,0.7504,0.1139
63,2,Aristotle - Poetics,24151,0.1169,0.5166,4.2656,57.8343,54.1816,0.6317,0.2562,0.5471,0.1498,0.0701,0.0813,1.3615,0.0085,24.4311,0.3237,131,726,0.6575,0.1033
71,2,Marcus Aurelius - Meditations,87257,0.1217,0.5175,4.4111,68.3972,65.8942,0.6899,0.3412,0.3491,0.0576,0.1621,0.0631,1.2598,0.0078,21.5036,0.4061,206,3221,0.9809,0.1382
62,2,Homer - The Odyssey,162293,0.1169,0.5178,4.1995,94.0338,68.0340,0.6052,0.5478,0.3129,0.0600,0.1540,0.0671,1.2536,0.0077,35.7904,0.4341,246,3617,0.6967,0.1393
100,3,Plato - Apology Phaedo Republic Symposium Meno Gorgias Theaetetus,147278,0.1445,0.5180,4.4879,62.6538,66.6838,0.7207,0.2950,0.3357,0.0212,0.2032,0.0583,1.2153,0.0065,22.2852,0.4432,346,5438,1.0996,0.1208
136,4,Herman Melville - Moby-Dick,304265,0.1889,0.5182,4.0618,104.3407,66.3198,0.5500,0.6308,0.3419,0.1917,0.1861,0.0852,1.4154,0.0108,23.9116,0.6784,394,8990,0.9149,0.2432
51,2,Pu Songling - Strange Stories from a Chinese Studio,280136,0.1066,0.5187,4.2132,94.9675,68.9099,0.6107,0.5553,0.2981,0.0981,0.1145,0.0692,1.3098,0.0077,25.3950,0.3852,265,8422,0.7941,0.0373
80,2,Emily Brontë - Wuthering Heights,163049,0.1294,0.5210,4.0807,117.1045,72.6245,0.5576,0.7336,0.2353,0.1378,0.1203,0.0695,1.3719,0.0083,20.6579,0.6555,130,5753,0.7954,0.1371
101,3,Shakespeare - Sonnets,27235,0.1462,0.5227,4.2097,97.3361,68.9136,0.6092,0.5744,0.2980,0.1178,0.1699,0.0754,1.3235,0.0093,30.4830,0.7259,224,675,0.7962,0.0578
99,3,Friedrich Nietzsche - Ecce Homo,65840,0.1439,0.5236,4.2615,77.9630,61.9334,0.6300,0.4183,0.4160,0.1642,0.1202,0.0770,1.3916,0.0110,24.1862,0.3355,210,1955,0.8311,0.0834
